"","Date","Open","High","Low","Close","Volume"
"1672","31-Jul-06","388.00","389.17","383.31",386.6,4598575
"1671","1-Aug-06","385.11","385.77","375.51",375.51,5466822
"1670","2-Aug-06","375.61","377.17","365.20",367.23,7098826
"1669","3-Aug-06","364.98","377.91","363.36",375.39,6329923
"1668","4-Aug-06","379.56","380.68","371.75",373.85,5095481
"1667","7-Aug-06","371.50","379.73","371.15",377.95,3999670
"1666","8-Aug-06","382.82","384.50","379.09",381,5744843
"1665","9-Aug-06","383.78","384.68","376.36",376.94,4311433
"1664","10-Aug-06","373.88","377.67","372.46",374.2,4264885
"1663","11-Aug-06","374.40","375.28","368.00",368.5,3768869
"1662","14-Aug-06","371.50","375.13","368.67",369.43,4968614
"1661","15-Aug-06","374.11","381.67","372.60",380.97,6699844
"1660","16-Aug-06","383.48","388.45","382.12",387.72,5853626
"1659","17-Aug-06","386.39","390.00","383.92",385.8,5080326
"1658","18-Aug-06","386.31","387.09","380.75",383.36,4952934
"1657","21-Aug-06","378.10","379.00","375.22",377.3,4120021
"1656","22-Aug-06","377.73","379.26","374.84",378.29,4164286
"1655","23-Aug-06","377.64","378.27","372.66",373.43,3644331
"1654","24-Aug-06","374.44","376.40","372.26",373.73,3484226
"1653","25-Aug-06","373.08","375.32","372.50",373.26,2467697
"1652","28-Aug-06","375.61","380.95","375.00",380.95,4165511
"1651","29-Aug-06","380.78","382.32","377.20",378.95,4465569
"1650","30-Aug-06","379.21","384.65","378.51",380.75,4043381
"1649","31-Aug-06","381.49","382.15","378.20",378.53,2967829
"1648","1-Sep-06","381.00","381.28","377.19",378.6,2674099
"1647","5-Sep-06","379.87","385.40","377.44",384.36,4075696
"1646","6-Sep-06","382.10","383.19","379.66",380.14,3727247
"1645","7-Sep-06","379.39","381.75","377.40",378.49,3842020
"1644","8-Sep-06","376.72","380.79","376.72",377.85,3083687
"1643","11-Sep-06","378.26","384.69","377.77",384.09,4529209
"1642","12-Sep-06","385.00","392.73","384.88",391.9,5467584
"1641","13-Sep-06","395.15","406.76","395.10",406.57,9770012
"1640","14-Sep-06","404.30","406.28","401.93",403.98,5367264
"1639","15-Sep-06","407.48","410.05","406.74",409.88,7841361
"1638","18-Sep-06","410.00","418.69","409.47",414.69,7112081
"1637","19-Sep-06","415.46","415.49","392.74",403.81,14296993
"1636","20-Sep-06","407.10","407.39","394.62",397,9154036
"1635","21-Sep-06","400.30","408.45","399.86",406.85,10696761
"1634","22-Sep-06","404.98","407.45","401.36",403.78,4649781
"1633","25-Sep-06","405.58","409.45","402.50",403.98,5741665
"1632","26-Sep-06","405.50","407.68","401.77",406.87,5294954
